"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"esv_1854","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA
"esv_21402","Fungi",NA,NA,NA,NA,NA,NA
"esv_3120","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA
"esv_9780","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"esv_3127","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_22634","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_14558","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA
"esv_3126","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_21190","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_9782","Fungi","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales",NA,NA,NA
"esv_3125","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_21982","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_11997","Fungi",NA,NA,NA,NA,NA,NA
"esv_1857","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"esv_19934","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"esv_5213","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_20586","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Incertae_sedis","Resinicium","Resinicium friabile "
"esv_13288","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_13289","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Zygoascus",NA
"esv_13284","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_13285","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_13286","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"esv_9786","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_13280","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_6409","Fungi","Basidiomycota","Tremellomycetes",NA,NA,NA,NA
"esv_13282","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_13283","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_16519","Fungi","Ascomycota","Eurotiomycetes",NA,NA,NA,NA
"esv_14948","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_6408","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"esv_3228","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces",NA
"esv_3229","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"esv_3224","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_3225","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA
"esv_3226","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_3227","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_3220","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_5212","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Fibrodontia","Fibrodontia alba "
"esv_3222","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"esv_3223","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"esv_1518","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"esv_1519","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia","Auricularia sp "
"esv_1848","Fungi","Ascomycota","Sordariomycetes","Xylariales",NA,NA,NA
"esv_1849","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Corticium","Corticium sp "
"esv_22636","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA
"esv_1510","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe infecunda "
"esv_1511","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma sp "
"esv_1512","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","Clitopilus sp "
"esv_1841","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"esv_1514","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","Leptosphaeria sp "
"esv_1515","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Pseudallescheria","Pseudallescheria angusta "
"esv_1844","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_1845","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_4232","Fungi","Calcarisporiellomycota","Calcarisporiellomycetes","Calcarisporiellales","Calcarisporiellaceae","Calcarisporiella","Calcarisporiella sp "
"esv_4233","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Pleurotheciella","Pleurotheciella rivularia "
"esv_4230","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_4231","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA
"esv_4236","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_4234","Fungi",NA,NA,NA,NA,NA,NA
"esv_4318","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"esv_18658","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena chlorophos "
"esv_4238","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"esv_5211","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae",NA,NA
"esv_22968","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_8443","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_23355","Fungi","Ascomycota","Sordariomycetes","Falcocladiales","Falcocladiaceae","Falcocladium",NA
"esv_20588","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Fomitopsis","Fomitopsis sp "
"esv_13060","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_13061","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_16010","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_8442","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum viniferum "
"esv_6505","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_13065","Fungi",NA,NA,NA,NA,NA,NA
"esv_13066","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_13067","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_13068","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_8445","Fungi",NA,NA,NA,NA,NA,NA
"esv_16018","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_16019","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"esv_21537","Fungi","Ascomycota",NA,NA,NA,NA,NA
